locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBBPGFGJ_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
EBBPGFGJ_00002	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
EBBPGFGJ_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
EBBPGFGJ_00004	CDS	774	yaaA		COG3022	DNA-binding and peroxide stress resistance protein YaaA
EBBPGFGJ_00005	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
EBBPGFGJ_00006	CDS	954	talB_1	2.2.1.2	COG0176	Transaldolase B
EBBPGFGJ_00007	CDS	591	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
EBBPGFGJ_00008	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
EBBPGFGJ_00009	CDS	714				hypothetical protein
EBBPGFGJ_00010	CDS	405				hypothetical protein
EBBPGFGJ_00011	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
EBBPGFGJ_00012	CDS	1140	dnaJ		COG0484	Chaperone protein DnaJ
EBBPGFGJ_00013	CDS	948	ybdO_1		COG0583	putative HTH-type transcriptional regulator YbdO
EBBPGFGJ_00014	CDS	345				hypothetical protein
EBBPGFGJ_00015	CDS	534				hypothetical protein
EBBPGFGJ_00016	CDS	444				hypothetical protein
EBBPGFGJ_00017	CDS	2100				hypothetical protein
EBBPGFGJ_00018	CDS	2997				hypothetical protein
EBBPGFGJ_00019	CDS	705	iprA_1			Inhibitor of hydrogen peroxide resistance
EBBPGFGJ_00020	CDS	543	elfA		COG3539	Laminin-binding fimbrial subunit ElfA
EBBPGFGJ_00021	CDS	687	sfmC_1		COG3121	putative fimbrial chaperone SfmC
EBBPGFGJ_00022	CDS	2622	elfC_1		COG3188	putative outer membrane usher protein ElfC
EBBPGFGJ_00023	CDS	1008	sfmH_1		COG3539	putative fimbrial-like protein SfmH
EBBPGFGJ_00024	CDS	546	ycbU		COG3539	putative fimbrial-like protein YcbU
EBBPGFGJ_00025	CDS	519	fimF_1		COG3539	Protein FimF
EBBPGFGJ_00026	CDS	732	ycbF		COG3121	putative fimbrial chaperone YcbF
EBBPGFGJ_00027	CDS	846				hypothetical protein
EBBPGFGJ_00028	CDS	288				hypothetical protein
EBBPGFGJ_00029	CDS	450				hypothetical protein
EBBPGFGJ_00030	CDS	1005	leuO_1		COG0583	HTH-type transcriptional regulator LeuO
EBBPGFGJ_00031	CDS	441				hypothetical protein
EBBPGFGJ_00032	CDS	1719	astA_1	2.8.2.22		Arylsulfate sulfotransferase AssT
EBBPGFGJ_00033	CDS	1563	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
EBBPGFGJ_00034	CDS	762				hypothetical protein
EBBPGFGJ_00035	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
EBBPGFGJ_00036	CDS	1191	chuR_1	1.1.98.7	COG0641	Serine-type anaerobic sulfatase-maturating enzyme
EBBPGFGJ_00037	CDS	1248				hypothetical protein
EBBPGFGJ_00038	CDS	1716	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
EBBPGFGJ_00039	CDS	1167	nhaA			Na(+)/H(+) antiporter NhaA
EBBPGFGJ_00040	CDS	894	nhaR		COG0583	Transcriptional activator protein NhaR
EBBPGFGJ_00041	CDS	2040				hypothetical protein
EBBPGFGJ_00042	CDS	1374	xylP			Isoprimeverose transporter
EBBPGFGJ_00043	CDS	210				hypothetical protein
EBBPGFGJ_00044	CDS	939	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
EBBPGFGJ_00045	CDS	2835	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
EBBPGFGJ_00046	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
EBBPGFGJ_00047	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
EBBPGFGJ_00048	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EBBPGFGJ_00049	CDS	1203				hypothetical protein
EBBPGFGJ_00050	CDS	921	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
EBBPGFGJ_00051	CDS	687	citB			Transcriptional regulatory protein CitB
EBBPGFGJ_00052	CDS	1659	citA	2.7.13.3		Sensor histidine kinase CitA
EBBPGFGJ_00053	CDS	1302	oadB1_1	7.2.4.2		Oxaloacetate decarboxylase beta chain 1
EBBPGFGJ_00054	CDS	1776	oadA_1	7.2.4.2		Oxaloacetate decarboxylase alpha chain
EBBPGFGJ_00055	CDS	240	oadG2_1	7.2.4.2		Oxaloacetate decarboxylase gamma chain 2
EBBPGFGJ_00056	CDS	1341	citS			Citrate/sodium symporter
EBBPGFGJ_00057	CDS	969	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
EBBPGFGJ_00058	CDS	294	citD_1			Citrate lyase acyl carrier protein
EBBPGFGJ_00059	CDS	870	citE_1	4.1.3.6		Citrate lyase subunit beta
EBBPGFGJ_00060	CDS	1521	citF_1	4.1.3.6		Citrate lyase alpha chain
EBBPGFGJ_00061	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
EBBPGFGJ_00062	CDS	909	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
EBBPGFGJ_00063	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EBBPGFGJ_00064	CDS	276				hypothetical protein
EBBPGFGJ_00065	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl phosphate synthase small chain
EBBPGFGJ_00066	CDS	3228	carB	6.3.4.16	COG0458	Carbamoyl phosphate synthase large chain
EBBPGFGJ_00067	CDS	396				hypothetical protein
EBBPGFGJ_00068	CDS	597	caiE			Carnitine operon protein CaiE
EBBPGFGJ_00069	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
EBBPGFGJ_00070	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
EBBPGFGJ_00071	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
EBBPGFGJ_00072	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
EBBPGFGJ_00073	CDS	1518	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
EBBPGFGJ_00074	CDS	771	fixA_1		COG2086	Protein FixA
EBBPGFGJ_00075	CDS	942	fixB_1		COG2025	Protein FixB
EBBPGFGJ_00076	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
EBBPGFGJ_00077	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
EBBPGFGJ_00078	CDS	1341	ygcS		COG0477	Inner membrane metabolite transport protein YgcS
EBBPGFGJ_00079	CDS	231	ygdR_1			putative lipoprotein YgdR
EBBPGFGJ_00080	CDS	417				hypothetical protein
EBBPGFGJ_00081	CDS	291				hypothetical protein
EBBPGFGJ_00082	CDS	1890				hypothetical protein
EBBPGFGJ_00083	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
EBBPGFGJ_00084	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
EBBPGFGJ_00085	CDS	480				IS1595 family transposase ISSsu9
EBBPGFGJ_00086	CDS	849	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
EBBPGFGJ_00087	CDS	378	apaG		COG2967	Protein ApaG
EBBPGFGJ_00088	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EBBPGFGJ_00089	CDS	990	pdxA	1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
EBBPGFGJ_00090	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
EBBPGFGJ_00091	CDS	2361	lptD			LPS-assembly protein LptD
EBBPGFGJ_00092	CDS	813	djlA		COG1076	Co-chaperone protein DjlA
EBBPGFGJ_00093	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
EBBPGFGJ_00094	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
EBBPGFGJ_00095	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
EBBPGFGJ_00096	CDS	621				hypothetical protein
EBBPGFGJ_00097	CDS	420				hypothetical protein
EBBPGFGJ_00098	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
