locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDAINPC_00001	CDS	633				hypothetical protein
MLDAINPC_00002	CDS	588				hypothetical protein
MLDAINPC_00003	CDS	369				hypothetical protein
MLDAINPC_00004	CDS	516	traV			Protein TraV
MLDAINPC_00005	CDS	2628	traC_1			Protein TraC
MLDAINPC_00006	CDS	387				hypothetical protein
MLDAINPC_00007	CDS	633				hypothetical protein
MLDAINPC_00008	CDS	993				hypothetical protein
MLDAINPC_00009	CDS	639				hypothetical protein
MLDAINPC_00010	CDS	1809	traN			Mating pair stabilization protein TraN
MLDAINPC_00011	CDS	261				hypothetical protein
MLDAINPC_00012	CDS	744				hypothetical protein
MLDAINPC_00013	CDS	282	traQ			Protein TraQ
MLDAINPC_00014	CDS	546				hypothetical protein
MLDAINPC_00015	CDS	303				hypothetical protein
MLDAINPC_00016	tRNA	72				tRNA-Thr(ggt)
MLDAINPC_00017	CDS	2823				hypothetical protein
MLDAINPC_00018	CDS	498				hypothetical protein
MLDAINPC_00019	CDS	777	ylpA			Lipoprotein YlpA
MLDAINPC_00020	CDS	2181	traD			Coupling protein TraD
MLDAINPC_00021	CDS	5271	traI			Multifunctional conjugation protein TraI
MLDAINPC_00022	CDS	744				hypothetical protein
MLDAINPC_00023	CDS	561	finO			Fertility inhibition protein
MLDAINPC_00024	CDS	213				hypothetical protein
MLDAINPC_00025	CDS	207				hypothetical protein
MLDAINPC_00026	CDS	258				hypothetical protein
MLDAINPC_00027	CDS	858				hypothetical protein
MLDAINPC_00028	CDS	252				hypothetical protein
MLDAINPC_00029	CDS	288	relE_1	3.1.-.-	COG2026	mRNA interferase toxin RelE
MLDAINPC_00030	CDS	1530				Tn3 family transposase TnAs1
MLDAINPC_00031	CDS	705				IS6 family transposase IS26
MLDAINPC_00032	CDS	288				hypothetical protein
MLDAINPC_00033	CDS	570			COG3385	IS4 family transposase ISAba33
MLDAINPC_00034	CDS	849	sul2_1	2.5.1.15		Dihydropteroate synthase type-2
MLDAINPC_00035	CDS	303				hypothetical protein
MLDAINPC_00036	CDS	1494				hypothetical protein
MLDAINPC_00037	CDS	306	hdfR_1			HTH-type transcriptional regulator HdfR
MLDAINPC_00038	CDS	1215	bcr_1		COG2814	Bicyclomycin resistance protein
MLDAINPC_00039	CDS	822				hypothetical protein
MLDAINPC_00040	CDS	837				IS91 family transposase ISVsa3
MLDAINPC_00041	CDS	705				IS6 family transposase IS1006
MLDAINPC_00042	CDS	2952				Tn3 family transposase TnAs3
MLDAINPC_00043	CDS	561	hin_1			DNA-invertase hin
MLDAINPC_00044	CDS	501				hypothetical protein
MLDAINPC_00045	CDS	1014	xerC_1			Tyrosine recombinase XerC
MLDAINPC_00046	CDS	498				IS1595 family transposase ISSsu9
MLDAINPC_00047	CDS	780		2.7.7.47		Aminoglycoside (3'') (9) adenylyltransferase
MLDAINPC_00048	CDS	1260	cmlA1			chloramphenicol efflux MFS transporter CmlA1
MLDAINPC_00049	CDS	780	aadA_1	2.7.7.47		Aminoglycoside (3'') (9) adenylyltransferase
MLDAINPC_00050	CDS	333	emrE_1		COG2076	Multidrug transporter EmrE
MLDAINPC_00051	CDS	576				IS256 family transposase IS406
MLDAINPC_00052	CDS	1920	tet(M)			tetracycline resistance ribosomal protection protein Tet(M)
MLDAINPC_00053	CDS	378				hypothetical protein
MLDAINPC_00054	CDS	705				IS6 family transposase IS26
MLDAINPC_00055	CDS	393				IS3 family transposase ISEhe3
MLDAINPC_00056	CDS	741	xerC_2			Tyrosine recombinase XerC
MLDAINPC_00057	CDS	978	repB			RepFIB replication protein A
MLDAINPC_00058	CDS	813				hypothetical protein
MLDAINPC_00059	CDS	504			COG1662	IS1 family transposase IS1R
MLDAINPC_00060	CDS	894				hypothetical protein
MLDAINPC_00061	CDS	996				hypothetical protein
MLDAINPC_00062	CDS	2139				hypothetical protein
MLDAINPC_00063	CDS	417	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
MLDAINPC_00064	CDS	231				hypothetical protein
MLDAINPC_00065	CDS	549				hypothetical protein
MLDAINPC_00066	CDS	831				hypothetical protein
MLDAINPC_00067	CDS	1638				hypothetical protein
MLDAINPC_00068	CDS	1134				hypothetical protein
MLDAINPC_00069	CDS	285				hypothetical protein
MLDAINPC_00070	CDS	198				hypothetical protein
MLDAINPC_00071	CDS	327				IS3 family transposase IS629
MLDAINPC_00072	CDS	888				IS3 family transposase IS629
MLDAINPC_00073	CDS	822			COG2826	IS30 family transposase IS30
MLDAINPC_00074	CDS	615				IS3 family transposase ISEhe3
MLDAINPC_00075	CDS	282				hypothetical protein
MLDAINPC_00076	CDS	378			COG1662	IS1 family transposase IS1R
MLDAINPC_00077	CDS	276			COG1662	IS1 family transposase IS1A
